x,y,z,cell_type_patient
16.12163,4.760723,0.7238594,0
15.11663,6.5839458,0.27523965,0
13.570735,5.8568788,-1.4569708,0
13.672128,6.9169965,0.9361426,0
15.871567,6.730755,0.5097153,0
14.459827,5.7763176,0.043928012,0
11.7602215,3.602987,0.730419,0
15.045667,4.5517883,0.5208947,0
12.75833,5.945261,-1.1096256,0
11.766053,6.364268,0.3674748,0
14.411256,6.4189625,-0.1515346,0
14.38259,6.3816667,0.90641,0
13.509545,6.4906025,-0.6004838,0
14.972623,3.9403179,1.0556657,0
17.806265,3.42336,1.2688361,0
12.023608,5.867169,0.44155067,0
11.856251,3.2932367,0.7012542,0
13.290743,5.6148844,0.1759649,0
15.092581,5.963546,0.78123456,0
12.750325,6.422245,0.66832024,0
12.951679,6.347186,0.83056134,0
14.13183,6.5436716,-0.9372099,0
15.054827,4.2422137,0.10430655,0
15.345586,3.8412604,1.5477862,0
15.021542,4.243645,1.5258722,0
14.956896,6.649867,-0.33389807,0
18.408777,3.3946187,1.0719384,0
11.353754,6.9853153,0.6166523,0
13.919448,7.0045314,0.16834024,0
16.804655,5.8215947,-0.0843476,0
14.199775,5.0070796,0.5878743,0
11.538671,7.5194373,-0.3845064,0
13.8860855,3.9254568,0.9542993,0
15.759716,5.25411,0.7444716,0
14.860191,4.145446,-0.5792057,0
13.9557905,7.221087,0.83268654,0
13.609756,7.7119923,-0.21280992,0
12.05102,5.2839923,0.3674059,0
12.354052,7.5790877,-0.7193543,0
14.766016,6.503577,-0.09993852,0
17.265474,4.6261225,0.5271128,0
15.14718,6.8202963,0.97161645,0
13.712022,5.680219,-0.9018122,0
11.850118,5.958886,0.6080061,0
14.320943,4.880257,0.8334596,0
15.816239,5.3513613,0.8473069,0
13.526241,4.493404,-0.106461346,0
13.223536,6.867352,-1.1828511,0
15.069401,4.423019,-0.12326978,0
13.259085,5.1795087,-1.5902209,0
10.989044,4.8958535,-0.095723465,0
12.286373,6.6168776,0.5244867,0
14.166264,4.8890505,-1.4940696,0
13.46191,5.466109,-0.57167923,0
17.450838,3.5870304,-0.47638828,0
13.581373,5.246998,-0.07372284,0
15.8565035,3.973263,-0.4482711,0
14.442419,7.3158565,0.69733846,0
11.6485,5.7298493,-0.5581268,0
13.697693,6.954401,0.63582075,0
11.769586,6.8980985,-0.6114729,0
14.80414,7.285526,-0.025016246,0
11.755663,7.492938,-0.31828347,0
13.887017,5.8309464,0.28611675,0
13.018753,4.3116226,0.5262676,0
13.253933,4.861281,-1.4226406,0
16.298052,3.7336068,2.1244123,0
13.124832,5.4858546,0.34041327,0
15.823203,5.1946282,1.1845809,0
14.892201,7.4292555,-0.091601074,0
15.97896,3.8421743,-0.593214,0
12.983767,7.215317,0.12619981,0
13.910928,4.9076934,0.98278147,0
15.535278,5.5655212,-0.44131815,0
16.067793,6.723047,-0.39162406,0
14.106594,4.328966,-0.26104748,0
13.319409,6.748823,-0.91048014,0
15.848434,3.779532,-0.39050695,0
17.507751,5.242072,0.6855385,0
14.937508,6.4165425,-0.07106252,0
13.366385,6.543212,-1.142527,0
14.599345,6.8323965,-0.09113844,0
14.5513735,5.58243,0.7080505,0
16.12435,4.5757074,-1.2669015,0
14.807421,3.9029636,1.4536381,0
15.647407,5.030351,-0.48873812,0
13.701308,6.8413196,-0.5249454,0
15.172459,4.183832,1.3606981,0
16.328941,3.8758333,-0.3195694,0
15.706704,5.1252465,-0.7216579,0
14.022729,4.596793,0.009534626,0
15.248837,6.713194,0.8399504,0
18.38766,4.1590652,0.29473832,0
15.278437,5.179769,-1.1975614,0
15.644777,4.9733543,-1.0481077,0
11.592188,7.028463,0.09798811,0
15.607078,5.4296846,-1.0037788,0
15.648512,3.054157,0.44848585,0
13.13415,4.5545106,-0.13439336,0
14.01574,5.6629357,-0.9870521,0
13.652059,4.8547955,-1.2501401,0
14.329105,4.963467,-1.1820793,0
14.526123,5.7759113,-0.73050433,0
13.557444,7.1700964,0.2386569,0
13.750932,6.54949,-1.0248451,0
15.486756,3.6556735,0.11861063,0
13.067952,3.4446695,0.44033283,0
15.246744,4.133746,0.8870506,0
12.553943,6.738285,1.0076126,0
13.327498,5.961208,-0.9261069,0
13.732678,6.642725,0.5846338,0
11.718164,6.100569,-0.3817625,0
11.868258,6.628302,0.32799807,0
14.053763,6.6676564,0.54063267,0
13.594973,7.4614544,0.774718,0
13.400417,5.0316963,0.5452865,0
14.646715,5.2081404,0.72004545,0
14.6543255,6.344624,0.4600519,0
16.787878,5.5417376,0.79356074,0
14.13305,5.544736,0.2027212,0
12.008157,4.53099,0.08568098,0
11.380482,5.864665,-0.3016595,0
16.426613,4.052344,-0.8621696,0
15.619735,5.44915,0.9749605,0
14.421932,6.3315463,0.1240741,0
14.448629,4.9982705,1.2172867,0
12.769115,6.9521036,-0.21449012,0
14.333014,4.1248946,0.8687627,0
14.418883,4.917633,0.08702084,0
12.343989,4.867119,-0.8201008,0
13.763275,6.007069,-0.3854444,0
12.119759,6.2626367,0.6027586,0
14.586097,6.929159,0.4920925,0
17.34228,4.437439,1.1579697,0
11.902458,6.814014,0.7291269,0
15.949469,5.251629,-0.021697514,0
10.949555,7.1843333,0.04675641,0
12.985423,7.0266824,0.63626,0
12.1264925,7.61683,-0.21673998,0
14.926226,5.241835,1.075291,0
12.886017,4.039702,-0.8543528,0
16.01098,5.674231,0.5103754,0
11.914338,7.4027495,-0.74162096,0
12.652708,6.469187,-0.7004478,0
10.468644,6.8476624,-0.27949223,0
12.953995,4.235153,-0.058500648,0
16.526981,5.681717,0.41431528,0
13.68459,6.0776606,0.48871723,0
15.037078,6.779164,-0.15249254,0
14.188316,6.870773,-0.85333735,0
